Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-08-15,F (Jan 2023),27.5000,27.6800,27.3000,27.4700,27.3671,-0.1696,5638,0,15921
2022-08-16,F (Jan 2023),27.4800,27.5300,27.2000,27.3800,27.4056,0.0385,3686,0,15698
2022-08-17,F (Jan 2023),27.4000,27.8100,27.3500,27.6000,27.5994,0.1938,4519,0,15318
2022-08-18,F (Jan 2023),27.6000,27.7500,27.3700,27.4700,27.4762,-0.1232,2942,0,15702
2022-08-19,F (Jan 2023),27.5000,28.2300,27.5000,27.9800,27.9496,0.4734,5722,0,17178
2022-08-22,F (Jan 2023),28.1000,28.6000,28.0100,28.3500,28.5252,0.5756,10004,0,20329
2022-08-23,F (Jan 2023),28.2000,28.6000,28.1800,28.4200,28.4017,-0.1235,6926,0,20588
2022-08-24,F (Jan 2023),28.4000,28.5500,27.9500,27.9900,28.0304,-0.3713,4230,0,21662
2022-08-25,F (Jan 2023),27.9500,28.0500,27.5500,27.6700,27.649,-0.3814,3170,0,21777
2022-08-26,F (Jan 2023),27.6500,28.7900,27.5500,28.6300,28.6081,0.9591,8774,0,22597
2022-08-29,F (Jan 2023),28.8000,29.0500,28.3500,28.5300,28.45,-0.1581,4844,0,22729
2022-08-30,F (Jan 2023),28.4000,28.8700,28.1500,28.5600,28.65,0.20,5421,480,23510
2022-08-31,F (Jan 2023),28.6000,28.6000,28.2200,28.4700,28.4511,-0.1989,5995,0,23753
2022-09-01,F (Jan 2023),28.5300,28.9700,28.2000,28.2600,28.2505,-0.2006,5271,0,24166
2022-09-02,F (Jan 2023),28.2500,28.5700,27.6100,28.2300,28.3521,0.1016,5743,0,23842
2022-09-06,F (Jan 2023),28.2500,28.8000,27.8600,28.5600,28.5647,0.2126,8312,0,25365
2022-09-07,F (Jan 2023),28.5300,28.7500,27.8500,27.9400,27.90,-0.6647,7287,0,26714
2022-09-08,F (Jan 2023),27.9000,28.2000,27.6300,27.6800,27.7475,-0.1525,6400,0,28129
2022-09-09,F (Jan 2023),27.7500,27.7500,27.3500,27.6500,27.6998,-0.0477,4300,0,28157
2022-09-12,F (Jan 2023),27.6000,27.7000,27.2100,27.3700,27.4255,-0.2743,6354,0,27695
2022-09-13,F (Jan 2023),27.3700,28.9700,27.2500,28.7200,28.7609,1.3354,9631,0,29834
2022-09-14,F (Jan 2023),28.7000,28.9000,28.4000,28.5600,28.7311,-0.0298,8903,0,30365
2022-09-15,F (Jan 2023),28.6000,28.9000,28.3500,28.7200,28.6546,-0.0765,4982,0,30436
2022-09-16,F (Jan 2023),28.8000,29.3300,28.5600,28.6000,28.6826,0.0280,7880,0,31452
2022-09-19,F (Jan 2023),28.6500,29.0700,27.9200,27.9500,28.0497,-0.6329,9406,0,32136
2022-09-20,F (Jan 2023),27.9200,28.5300,27.8000,28.2700,28.2533,0.2036,13978,0,33150
2022-09-21,F (Jan 2023),28.3000,28.8100,27.8200,28.7500,28.6443,0.3910,16449,0,34391
2022-09-22,F (Jan 2023),28.7700,29.0000,28.2500,28.5200,28.5707,-0.0736,14861,0,34094
2022-09-23,F (Jan 2023),28.5300,30.0200,28.4700,29.4400,29.4666,0.8959,15249,0,34966
2022-09-26,F (Jan 2023),29.5000,30.4000,29.2700,30.3400,30.2518,0.7852,13606,0,34783
2022-09-27,F (Jan 2023),30.3500,30.8700,29.7000,30.3200,30.4467,0.1949,12029,0,35137
2022-09-28,F (Jan 2023),30.3500,31.1500,29.7200,29.8300,29.87,-0.5767,13575,0,33850
2022-09-29,F (Jan 2023),29.7600,30.9500,29.6800,30.3400,30.3998,0.5298,13424,0,34650
2022-09-30,F (Jan 2023),30.3000,30.7600,29.8500,30.5900,30.7021,0.3023,12050,0,34449
2022-10-03,F (Jan 2023),30.6000,31.0400,29.6000,29.9200,30.05,-0.6521,8887,0,34539
2022-10-04,F (Jan 2023),29.8500,30.0000,29.2500,29.5700,29.6329,-0.4171,12712,0,34402
2022-10-05,F (Jan 2023),29.6000,30.2700,29.4500,29.5700,29.65,0.0171,14047,0,36060
