Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/26/2013,X (Nov 13),20.94,21.25,20.85,21.08,21.1,-0.05,6409,0,29569
06/27/2013,X (Nov 13),20.9,21,20.65,20.78,20.8,-0.3,6717,0,28965
06/28/2013,X (Nov 13),20.64,21,20.4,20.68,20.7,-0.1,6869,34,28318
07/01/2013,X (Nov 13),20.65,20.65,20.1,20.37,20.4,-0.3,5646,12,28196
07/02/2013,X (Nov 13),20.25,20.57,20.1,20.47,20.5,0.1,3949,0,28338
07/03/2013,X (Nov 13),20.47,20.65,20.25,20.41,20.45,-0.05,3667,23,28273
07/05/2013,X (Nov 13),20.22,20.4,19.9,19.92,19.95,-0.5,5811,0,28570
07/08/2013,X (Nov 13),19.88,19.88,19.2,19.24,19.25,-0.7,9044,34,29154
07/09/2013,X (Nov 13),19.15,19.18,18.8,19.03,19.05,-0.2,8923,22,29084
07/10/2013,X (Nov 13),19.1,19.13,18.75,18.83,18.85,-0.2,6506,0,29373
07/11/2013,X (Nov 13),18.5,18.6,18.3,18.46,18.5,-0.35,5888,11,28939
07/12/2013,X (Nov 13),18.4,18.68,18.25,18.61,18.65,0.15,6555,45,28945
07/15/2013,X (Nov 13),18.55,18.55,18.2,18.3,18.3,-0.35,5698,0,29159
07/16/2013,X (Nov 13),18.27,18.95,18.2,18.87,18.9,0.6,11484,0,29236
07/17/2013,X (Nov 13),18.75,18.75,18.35,18.41,18.45,-0.45,8066,0,29543
07/18/2013,X (Nov 13),18.45,18.5,18.15,18.4,18.4,-0.05,6392,31,29565
07/19/2013,X (Nov 13),18.4,18.55,18.2,18.22,18.25,-0.15,12133,0,31827
07/22/2013,X (Nov 13),18.25,18.3,17.9,17.97,18,-0.25,7399,0,32053
07/23/2013,X (Nov 13),17.95,18.1,17.75,17.87,17.9,-0.1,8751,30,31718
07/24/2013,X (Nov 13),17.77,18.09,17.77,17.94,17.95,0.05,9574,8,30693
07/25/2013,X (Nov 13),18.1,18.13,17.6,17.6,17.65,-0.3,12152,0,30533
07/26/2013,X (Nov 13),17.8,18,17.5,17.56,17.6,-0.05,8291,0,31217
07/29/2013,X (Nov 13),17.63,17.77,17.55,17.57,17.6,0,7413,21,31080
07/30/2013,X (Nov 13),17.5,17.67,17.35,17.42,17.45,-0.15,6602,0,32037
07/31/2013,X (Nov 13),17.45,17.45,16.97,17.01,17.05,-0.4,11082,0,33254
08/01/2013,X (Nov 13),16.9,16.9,16.65,16.78,16.8,-0.25,13355,0,34305
08/02/2013,X (Nov 13),16.75,16.77,16.44,16.48,16.5,-0.3,10221,26,33654
08/05/2013,X (Nov 13),16.45,16.45,16.25,16.27,16.3,-0.2,8521,0,33706
08/06/2013,X (Nov 13),16.3,16.75,16.2,16.62,16.65,0.35,11004,9,34252
08/07/2013,X (Nov 13),16.75,17.08,16.65,16.73,16.75,0.1,10989,0,34848
08/08/2013,X (Nov 13),16.6,16.78,16.44,16.57,16.6,-0.15,10882,0,35928
08/09/2013,X (Nov 13),16.65,16.9,16.5,16.83,16.85,0.25,8651,6,36123
08/12/2013,X (Nov 13),16.95,17.1,16.65,16.82,16.85,0,10595,0,36998
